State,County,Population,Poverty Count,Total Poverty Rate (%),
Iowa,Delaware County,17326,1570,9.06152603,
Iowa,Jefferson County,17945,2510,13.98718306,
Iowa,Wayne County,6405,1001,15.6284153,
Iowa,Allamakee County,13940,1550,11.11908178,
Iowa,Linn County,220008,20280,9.217846624,
Iowa,Scott County,171493,20615,12.02089881,
Iowa,Dallas County,80864,4345,5.373219232,
Iowa,O'Brien County,13944,1328,9.523809524,
Iowa,Benton County,25646,2182,8.508149419,
Iowa,Butler County,14822,1369,9.236270409,
Iowa,Dubuque County,96571,11051,11.44339398,
Iowa,Fremont County,6985,748,10.70866142,
Iowa,Hamilton County,15201,1402,9.223077429,
Iowa,Pocahontas County,6972,898,12.8800918,
Iowa,Taylor County,6214,668,10.74991954,
Iowa,Union County,12497,1682,13.45923022,
Iowa,Van Buren County,7308,1014,13.87520525,
Iowa,Worth County,7502,741,9.877366036,
Iowa,Ringgold County,4986,518,10.38908945,
Iowa,Adams County,3785,418,11.04359313,
Iowa,Adair County,7192,661,9.190767519,
Iowa,Audubon County,5711,614,10.75118193,
Iowa,Chickasaw County,12140,1070,8.81383855,
Iowa,Clarke County,9267,1394,15.04262437,
Iowa,Davis County,8834,1196,13.53860086,
Iowa,Dickinson County,17000,1356,7.976470588,
Iowa,Ida County,6965,701,10.06460876,
Iowa,Johnson County,144425,24026,16.63562403,
Iowa,Keokuk County,10223,1130,11.0535068,
Iowa,Monroe County,7912,846,10.69261881,
Iowa,Tama County,17236,1968,11.4179624,
Iowa,Wapello County,35321,5862,16.59635911,
Iowa,Sioux County,34692,2544,7.333102733,
Iowa,Franklin County,10326,1586,15.35928724,
Iowa,Calhoun County,9814,1381,14.07173426,
Iowa,Carroll County,20428,2053,10.04993147,
Iowa,Cedar County,18368,984,5.357142857,
Iowa,Cerro Gordo County,43134,4773,11.06551676,
Iowa,Floyd County,15904,2438,15.32947686,
Iowa,Greene County,9046,892,9.860711917,
Iowa,Hardin County,17239,1314,7.622251871,
Iowa,Louisa County,11238,1222,10.87382096,
Iowa,Lucas County,8600,828,9.627906977,
Iowa,Lyon County,11745,566,4.819071946,
Iowa,Winnebago County,10545,998,9.464201043,
Iowa,Palo Alto County,9110,618,6.783754116,
Iowa,Shelby County,11772,1005,8.537206932,
Iowa,Appanoose County,12547,2108,16.80082888,
Iowa,Henry County,19865,2255,11.35162346,
Iowa,Iowa County,16231,1555,9.580432506,
Iowa,Jasper County,36789,3171,8.619424284,
Iowa,Page County,15393,1963,12.75254986,
Iowa,Winneshiek County,20575,1455,7.071688943,
Iowa,Poweshiek County,18428,1777,9.642934665,
Iowa,Pottawattamie County,93287,10191,10.92435173,
Iowa,Marshall County,40476,4422,10.92499259,
Iowa,Clayton County,17711,1806,10.19705268,
Iowa,Boone County,26381,2426,9.196012282,
Iowa,Bremer County,24741,1781,7.19857726,
Iowa,Buena Vista County,20369,2654,13.02960381,
Iowa,Howard County,9321,1051,11.2756142,
Iowa,Emmet County,9661,1212,12.54528517,
Iowa,Guthrie County,10664,1063,9.968117029,
Iowa,Hancock County,10971,976,8.89618084,
Iowa,Humboldt County,9586,1226,12.78948467,
Iowa,Madison County,15720,1132,7.201017812,
Iowa,Marion County,33127,2932,8.850786368,
Iowa,Washington County,22095,1983,8.974881195,
Iowa,Wright County,12864,1585,12.32120647,
Iowa,Cass County,13327,1970,14.78202146,
Iowa,Cherokee County,11577,1307,11.28962598,
Iowa,Crawford County,17131,3136,18.30599498,
Iowa,Des Moines County,39876,5985,15.00902799,
Iowa,Fayette County,20139,2472,12.2746909,
Iowa,Harrison County,14196,1452,10.22823331,
Iowa,Kossuth County,15166,1488,9.811420282,
Iowa,Mills County,14933,1344,9.000200897,
Iowa,Monona County,8865,1284,14.48392555,
Iowa,Muscatine County,42923,4442,10.34876407,
Iowa,Osceola County,6149,689,11.205074,
Iowa,Polk County,467235,53570,11.46532259,
Iowa,Webster County,36945,5539,14.9925565,
Iowa,Story County,95888,18822,19.62915068,
Iowa,Woodbury County,102397,13969,13.64200123,
Iowa,Black Hawk County,132960,20292,15.26173285,
Iowa,Grundy County,12354,697,5.641897361,
Iowa,Jackson County,19409,2293,11.81410686,
Iowa,Jones County,20468,1745,8.525503225,
Iowa,Lee County,34785,5504,15.82291217,
Iowa,Mitchell County,10663,870,8.159054675,
Iowa,Montgomery County,10239,1653,16.1441547,
Iowa,Warren County,48630,2903,5.969566111,
Iowa,Sac County,9936,913,9.188808374,
Iowa,Mahaska County,22301,3116,13.9724676,
Iowa,Plymouth County,25027,2251,8.994286171,
Iowa,Buchanan County,21101,1621,7.682100374,
Iowa,Clay County,16387,1879,11.4664063,
Iowa,Clinton County,47587,6094,12.80601845,
Iowa,Decatur County,8105,1403,17.31030228,
