,County,Date,Sale (Dollars),Volume Sold (Gallons)
0,Adair,2017,461558.83999999997,9401.98
1,Adams,2017,87132.37,1576.56
2,Allamakee,2017,904283.85,19041.58
3,Appanoose,2017,945139.22,17566.34
4,Audubon,2017,129025.22,3110.78
5,Benton,2017,853594.13,18426.32
6,Black Hawk,2017,17238824.27,295564.72
7,Boone,2017,2026712.78,39600.840000000004
8,Bremer,2017,1892456.29,38347.93
9,Buchanan,2017,1321677.86,26437.07
10,Buena Vist,2017,1938550.65,35487.32
11,Butler,2017,309304.1,7245.5037635
12,Calhoun,2017,346174.81,7686.87
13,Carroll,2017,2478756.75,47814.7
14,Cass,2017,779014.1,15393.72
15,Cedar,2017,600488.82,12463.05
16,Cerro Gord,2017,6551548.9,124696.29000000001
17,Cherokee,2017,760370.44,15364.61
18,Chickasaw,2017,368397.81,8116.0
19,Clarke,2017,590767.85,11501.16
20,Clay,2017,1580490.75,32714.39
21,Clayton,2017,726631.3200000001,14505.91
22,Clinton,2017,3707478.5,70756.85
23,Crawford,2017,1335303.11,25258.35
24,Dallas,2017,6711573.21,114893.07
25,Davis,2017,105289.65,2178.08
26,Decatur,2017,176982.55,3258.44
27,Delaware,2017,1035481.65,21050.15
28,Des Moines,2017,3562989.4699999997,63729.0
29,Dickinson,2017,4189081.3899999997,78902.46
30,Dubuque,2017,9572279.19,171025.05
31,Emmet,2017,416399.98,8798.44
32,Fayette,2017,1258834.25,27100.170000000002
33,Floyd,2017,1282949.09,24742.38
34,Franklin,2017,498509.95,10496.13
35,Fremont,2017,48988.59,1023.94
36,Greene,2017,584419.28,11507.94
37,Grundy,2017,351470.33,8071.9
38,Guthrie,2017,288468.26,5890.2
39,Hamilton,2017,963995.33,19092.94
40,Hancock,2017,382605.04,8740.4829232
41,Hardin,2017,1842255.66,37058.37
42,Harrison,2017,343503.64999999997,6603.7654903
43,Henry,2017,1200253.94,22705.969999999998
44,Howard,2017,718058.5,15364.65
45,Humboldt,2017,739820.18,15038.86
46,Ida,2017,652308.07,12182.63
47,Iowa,2017,1180233.67,23193.559999999998
48,Jackson,2017,1262540.8,25718.0860468
49,Jasper,2017,1839911.61,36159.4944798
50,Jefferson,2017,984324.83,16848.82
51,Johnson,2017,19301290.45,320315.29
52,Jones,2017,1310045.51,27244.05
53,Keokuk,2017,156906.79,3682.06
54,Kossuth,2017,1743506.17,35270.66
55,Lee,2017,3487019.16,63060.43
56,Linn,2017,27338206.25,487767.12
57,Louisa,2017,258059.21,4893.72
58,Lucas,2017,502100.3,9391.0
59,Lyon,2017,732869.5,14139.54
60,Madison,2017,833116.5,16631.0798656
61,Mahaska,2017,1022516.83,19714.83
62,Marion,2017,2238576.2800000003,41395.369999999995
63,Marshall,2017,3346065.02,59606.6813728
64,Mills,2017,531135.92,10496.79
65,Mitchell,2017,468286.45999999996,10358.76
66,Monona,2017,542469.12,10331.88
67,Monroe,2017,388982.96,7417.19
68,Montgomery,2017,695507.64,13428.99
69,Muscatine,2017,3344143.97,61299.27
70,Obrien,2017,1312516.7,26846.74
71,Osceola,2017,258309.94,5335.17
72,Page,2017,1260072.08,23667.12
73,Palo Alto,2017,647203.0,13425.07
74,Plymouth,2017,1823985.3900000001,34179.08
75,Pocahontas,2017,329361.88,7530.41
76,Polk,2017,70524271.50999999,1135421.66
77,Pottawatta,2017,10951236.739999998,189575.0910268
78,Poweshiek,2017,1552681.21,29194.5107989
79,Ringgold,2017,164542.28,3273.04
80,Sac,2017,563398.61,11978.34
81,Scott,2017,22010148.84,366750.88
82,Shelby,2017,953077.34,18039.63
83,Sioux,2017,1847519.07,35141.29
84,Story,2017,9275146.2,170678.73
85,Tama,2017,733616.68,14901.94
86,Taylor,2017,111021.67,2235.79
87,Union,2017,1018466.88,19286.36
88,Van Buren,2017,184563.25,3476.93
89,Wapello,2017,2222977.86,40756.32000000001
90,Warren,2017,2760209.73,52551.67
91,Washington,2017,1713420.63,30741.89
92,Wayne,2017,117187.62,2398.93
93,Webster,2017,3430382.21,64306.71
94,Winnebago,2017,767617.91,16593.48
95,Winneshiek,2017,1407644.57,26860.41
96,Woodbury,2017,10911022.45,187517.59
97,Worth,2017,266047.84,5757.13
98,Wright,2017,761075.24,16210.35
